5.39 & SMA & 215.5 & $15.14 pm 0.56$  
5.39 & SMA & 231.5 & $16.19 pm 0.65$  
6.31 & SMA & 215.5 & $31.17 pm 0.87$  
6.31 & SMA & 231.5 & $31.36 pm 0.97$  
7.37 & SMA & 215.5 & $40.19 pm 0.56$  
7.37 & SMA & 231.5 & $41.92 pm 0.66$  
7.41 & SMA & 330.8 & $36.39 pm 2.25$  
7.41 & SMA & 346.8 & $30.7 pm 1.99$  
8.37 & SMA & 215.5 & $41.19 pm 0.47$  
8.37 & SMA & 231.5 & $41.44 pm 0.56$  
8.38 & SMA & 344.8 & $26.74 pm 1.42$  
8.38 & SMA & 360.8 & $22.79 pm 1.63$  
9.26 & SMA & 243.3 & $35.21 pm 0.75$  
9.26 & SMA & 259.3 & $36.1 pm 1.0$  
9.28 & SMA & 341.5 & $22.85 pm 1.53$  
9.28 & SMA & 357.5 & $25.84 pm 2.5$  
10.26 & SMA & 243.3 & $36.6 pm 0.81$  
10.26 & SMA & 259.3 & $31.21 pm 0.92$  
10.26 & SMA & 341.5 & $19.49 pm 1.47$  
10.26 & SMA & 357.5 & $17.42 pm 2.8$  
11.26 & SMA & 243.3 & $22.14 pm 1.05$  
11.26 & SMA & 259.3 & $20.02 pm 1.28$  
13.3 & SMA & 215.5 & $35.67 pm 0.81$  
13.3 & SMA & 231.5 & $32.94 pm 1.01$  
14.36 & SMA & 344.8 & $26.85 pm 2.22$  
14.36 & SMA & 360.8 & $26.13 pm 2.77$  
14.37 & SMA & 215.5 & $42.05 pm 0.5$  
14.37 & SMA & 231.5 & $38.71 pm 0.58$  
15.23 & SMA & 225.0 & $30.82 pm 2.41$  
15.23 & SMA & 233.0 & $28.64 pm 4.0$  
15.23 & SMA & 241.0 & $27.41 pm 3.21$  
15.23 & SMA & 249.0 & $15.4 pm 4.74$  
17.29 & SMA & 234.6 & $36.57 pm 1.55$  
17.29 & SMA & 250.6 & $34.04 pm 1.81$  
18.4 & SMA & 217.5 & $52.52 pm 0.55$  
18.4 & SMA & 233.5 & $49.32 pm 0.65$  
19.25 & SMA & 193.5 & $59.27 pm 1.49$  
19.25 & SMA & 202.0 & $56.03 pm 1.5$  
19.25 & SMA & 209.5 & $55.09 pm 1.39$  
19.25 & SMA & 218.0 & $54.54 pm 1.33$  
20.28 & SMA & 215.5 & $50.6 pm 1.69$  
20.28 & SMA & 231.5 & $49.16 pm 1.84$  
20.28 & SMA & 267.0 & $41.69 pm 1.62$  
20.28 & SMA & 283.0 & $37.84 pm 1.63$  
24.39 & SMA & 215.5 & $55.57 pm 0.53$  
24.39 & SMA & 231.5 & $53.2 pm 0.6$  
24.4 & SMA & 333.0 & $23.98 pm 1.39$  
24.4 & SMA & 349.0 & $28.46 pm 1.37$  
26.26 & SMA & 215.6 & $38.83 pm 1.2$  
26.26 & SMA & 231.6 & $34.1 pm 1.33$  
31.2 & SMA & 230.6 & $36.76 pm 1.12$  
31.2 & SMA & 246.6 & $31.41 pm 1.42$
35.34 & SMA & 215.5 & $21.59 pm 0.89$  
35.34 & SMA & 231.5 & $20.63 pm 1.04$  
36.34 & SMA & 215.5 & $24.32 pm 1.19$  
36.34 & SMA & 231.5 & $20.79 pm 1.42$  
39.25 & SMA & 217.0 & $18.34 pm 1.65$  
39.25 & SMA & 233.0 & $19.74 pm 1.76$  
39.26 & SMA & 264.0 & $17.61 pm 2.79$  
39.26 & SMA & 280.0 & $8.27 pm 2.93$  
41.24 & SMA & 217.0 & $12.58 pm 1.5$  
41.24 & SMA & 225.0 & $8.91 pm 1.9$  
41.24 & SMA & 233.0 & $15.08 pm 1.73$  
41.24 & SMA & 241.0 & $9.64 pm 2.13$  
